WORD,YEAR,N,GENDER,TOTAL_PRINTS
duchess,1770,0,f,164
duchess,1771,1,f,178
duchess,1772,0,f,312
duchess,1773,1,f,249
duchess,1774,0,f,121
duchess,1775,0,f,95
duchess,1776,0,f,96
duchess,1777,0,f,105
duchess,1778,0,f,108
duchess,1779,0,f,108
duchess,1780,0,f,253
duchess,1781,0,f,173
duchess,1782,0,f,221
duchess,1783,0,f,254
duchess,1784,11,f,420
duchess,1785,0,f,163
duchess,1786,0,f,238
duchess,1787,0,f,132
duchess,1788,0,f,261
duchess,1789,0,f,165
duchess,1790,0,f,199
duchess,1791,0,f,262
duchess,1792,1,f,239
duchess,1793,0,f,170
duchess,1794,0,f,229
duchess,1795,0,f,261
duchess,1796,0,f,255
duchess,1797,0,f,220
duchess,1798,0,f,244
duchess,1799,0,f,188
duchess,1800,0,f,233
duchess,1801,0,f,170
duchess,1802,0,f,147
duchess,1803,0,f,308
duchess,1804,0,f,190
duchess,1805,0,f,218
duchess,1806,0,f,226
duchess,1807,0,f,246
duchess,1808,0,f,297
duchess,1809,0,f,297
duchess,1810,0,f,202
duchess,1811,0,f,158
duchess,1812,0,f,174
duchess,1813,0,f,230
duchess,1814,0,f,276
duchess,1815,0,f,262
duchess,1816,1,f,134
duchess,1817,0,f,131
duchess,1818,1,f,228
duchess,1819,0,f,309
duchess,1820,1,f,691
duchess,1821,0,f,286
duchess,1822,0,f,170
duchess,1823,0,f,162
duchess,1824,0,f,176
duchess,1825,0,f,230
duchess,1826,0,f,174
duchess,1827,1,f,190
duchess,1828,1,f,215
duchess,1829,1,f,461
female,1770,2,f,164
female,1771,4,f,178
female,1772,3,f,312
female,1773,1,f,249
female,1774,3,f,121
female,1775,1,f,95
female,1776,6,f,96
female,1777,1,f,105
female,1778,2,f,108
female,1779,1,f,108
female,1780,6,f,253
female,1781,1,f,173
female,1782,0,f,221
female,1783,2,f,254
female,1784,6,f,420
female,1785,1,f,163
female,1786,3,f,238
female,1787,1,f,132
female,1788,0,f,261
female,1789,1,f,165
female,1790,1,f,199
female,1791,1,f,262
female,1792,2,f,239
female,1793,1,f,170
female,1794,5,f,229
female,1795,0,f,261
female,1796,0,f,255
female,1797,0,f,220
female,1798,2,f,244
female,1799,0,f,188
female,1800,3,f,233
female,1801,3,f,170
female,1802,0,f,147
female,1803,3,f,308
female,1804,2,f,190
female,1805,2,f,218
female,1806,0,f,226
female,1807,2,f,246
female,1808,1,f,297
female,1809,2,f,297
female,1810,3,f,202
female,1811,1,f,158
female,1812,2,f,174
female,1813,0,f,230
female,1814,3,f,276
female,1815,3,f,262
female,1816,1,f,134
female,1817,1,f,131
female,1818,2,f,228
female,1819,9,f,309
female,1820,4,f,691
female,1821,3,f,286
female,1822,2,f,170
female,1823,0,f,162
female,1824,1,f,176
female,1825,2,f,230
female,1826,1,f,174
female,1827,1,f,190
female,1828,5,f,215
female,1829,2,f,461
ladies,1770,1,f,164
ladies,1771,2,f,178
ladies,1772,8,f,312
ladies,1773,2,f,249
ladies,1774,2,f,121
ladies,1775,0,f,95
ladies,1776,5,f,96
ladies,1777,3,f,105
ladies,1778,3,f,108
ladies,1779,3,f,108
ladies,1780,2,f,253
ladies,1781,8,f,173
ladies,1782,3,f,221
ladies,1783,4,f,254
ladies,1784,21,f,420
ladies,1785,2,f,163
ladies,1786,10,f,238
ladies,1787,9,f,132
ladies,1788,11,f,261
ladies,1789,9,f,165
ladies,1790,3,f,199
ladies,1791,3,f,262
ladies,1792,3,f,239
ladies,1793,6,f,170
ladies,1794,10,f,229
ladies,1795,7,f,261
ladies,1796,10,f,255
ladies,1797,9,f,220
ladies,1798,1,f,244
ladies,1799,7,f,188
ladies,1800,3,f,233
ladies,1801,1,f,170
ladies,1802,4,f,147
ladies,1803,9,f,308
ladies,1804,0,f,190
ladies,1805,4,f,218
ladies,1806,4,f,226
ladies,1807,7,f,246
ladies,1808,11,f,297
ladies,1809,3,f,297
ladies,1810,6,f,202
ladies,1811,4,f,158
ladies,1812,3,f,174
ladies,1813,8,f,230
ladies,1814,18,f,276
ladies,1815,5,f,262
ladies,1816,5,f,134
ladies,1817,8,f,131
ladies,1818,11,f,228
ladies,1819,9,f,309
ladies,1820,18,f,691
ladies,1821,8,f,286
ladies,1822,8,f,170
ladies,1823,2,f,162
ladies,1824,7,f,176
ladies,1825,5,f,230
ladies,1826,6,f,174
ladies,1827,5,f,190
ladies,1828,9,f,215
ladies,1829,6,f,461
lady,1770,5,f,164
lady,1771,7,f,178
lady,1772,12,f,312
lady,1773,7,f,249
lady,1774,8,f,121
lady,1775,4,f,95
lady,1776,20,f,96
lady,1777,21,f,105
lady,1778,11,f,108
lady,1779,4,f,108
lady,1780,21,f,253
lady,1781,18,f,173
lady,1782,16,f,221
lady,1783,17,f,254
lady,1784,35,f,420
lady,1785,13,f,163
lady,1786,35,f,238
lady,1787,17,f,132
lady,1788,18,f,261
lady,1789,24,f,165
lady,1790,9,f,199
lady,1791,16,f,262
lady,1792,14,f,239
lady,1793,12,f,170
lady,1794,22,f,229
lady,1795,16,f,261
lady,1796,15,f,255
lady,1797,8,f,220
lady,1798,6,f,244
lady,1799,10,f,188
lady,1800,6,f,233
lady,1801,6,f,170
lady,1802,15,f,147
lady,1803,12,f,308
lady,1804,9,f,190
lady,1805,13,f,218
lady,1806,12,f,226
lady,1807,22,f,246
lady,1808,10,f,297
lady,1809,6,f,297
lady,1810,11,f,202
lady,1811,13,f,158
lady,1812,13,f,174
lady,1813,16,f,230
lady,1814,18,f,276
lady,1815,9,f,262
lady,1816,11,f,134
lady,1817,21,f,131
lady,1818,18,f,228
lady,1819,22,f,309
lady,1820,21,f,691
lady,1821,16,f,286
lady,1822,19,f,170
lady,1823,11,f,162
lady,1824,14,f,176
lady,1825,15,f,230
lady,1826,17,f,174
lady,1827,12,f,190
lady,1828,16,f,215
lady,1829,23,f,461
mrs,1770,0,f,164
mrs,1771,0,f,178
mrs,1772,0,f,312
mrs,1773,0,f,249
mrs,1774,0,f,121
mrs,1775,0,f,95
mrs,1776,0,f,96
mrs,1777,0,f,105
mrs,1778,0,f,108
mrs,1779,0,f,108
mrs,1780,0,f,253
mrs,1781,0,f,173
mrs,1782,0,f,221
mrs,1783,0,f,254
mrs,1784,0,f,420
mrs,1785,0,f,163
mrs,1786,0,f,238
mrs,1787,0,f,132
mrs,1788,0,f,261
mrs,1789,0,f,165
mrs,1790,0,f,199
mrs,1791,0,f,262
mrs,1792,0,f,239
mrs,1793,0,f,170
mrs,1794,0,f,229
mrs,1795,0,f,261
mrs,1796,0,f,255
mrs,1797,0,f,220
mrs,1798,0,f,244
mrs,1799,0,f,188
mrs,1800,0,f,233
mrs,1801,0,f,170
mrs,1802,0,f,147
mrs,1803,0,f,308
mrs,1804,0,f,190
mrs,1805,0,f,218
mrs,1806,0,f,226
mrs,1807,0,f,246
mrs,1808,0,f,297
mrs,1809,0,f,297
mrs,1810,0,f,202
mrs,1811,0,f,158
mrs,1812,0,f,174
mrs,1813,0,f,230
mrs,1814,0,f,276
mrs,1815,0,f,262
mrs,1816,0,f,134
mrs,1817,0,f,131
mrs,1818,0,f,228
mrs,1819,0,f,309
mrs,1820,0,f,691
mrs,1821,0,f,286
mrs,1822,0,f,170
mrs,1823,0,f,162
mrs,1824,0,f,176
mrs,1825,0,f,230
mrs,1826,0,f,174
mrs,1827,0,f,190
mrs,1828,0,f,215
mrs,1829,0,f,461
ms,1770,0,f,164
ms,1771,0,f,178
ms,1772,0,f,312
ms,1773,0,f,249
ms,1774,0,f,121
ms,1775,1,f,95
ms,1776,0,f,96
ms,1777,0,f,105
ms,1778,0,f,108
ms,1779,0,f,108
ms,1780,0,f,253
ms,1781,0,f,173
ms,1782,0,f,221
ms,1783,1,f,254
ms,1784,0,f,420
ms,1785,0,f,163
ms,1786,0,f,238
ms,1787,0,f,132
ms,1788,1,f,261
ms,1789,0,f,165
ms,1790,0,f,199
ms,1791,0,f,262
ms,1792,0,f,239
ms,1793,0,f,170
ms,1794,0,f,229
ms,1795,0,f,261
ms,1796,0,f,255
ms,1797,0,f,220
ms,1798,1,f,244
ms,1799,0,f,188
ms,1800,0,f,233
ms,1801,0,f,170
ms,1802,0,f,147
ms,1803,0,f,308
ms,1804,0,f,190
ms,1805,0,f,218
ms,1806,0,f,226
ms,1807,0,f,246
ms,1808,0,f,297
ms,1809,0,f,297
ms,1810,0,f,202
ms,1811,0,f,158
ms,1812,0,f,174
ms,1813,0,f,230
ms,1814,0,f,276
ms,1815,0,f,262
ms,1816,0,f,134
ms,1817,1,f,131
ms,1818,0,f,228
ms,1819,0,f,309
ms,1820,1,f,691
ms,1821,0,f,286
ms,1822,0,f,170
ms,1823,0,f,162
ms,1824,0,f,176
ms,1825,0,f,230
ms,1826,0,f,174
ms,1827,0,f,190
ms,1828,0,f,215
ms,1829,0,f,461
wife,1770,2,f,164
wife,1771,2,f,178
wife,1772,9,f,312
wife,1773,9,f,249
wife,1774,7,f,121
wife,1775,10,f,95
wife,1776,1,f,96
wife,1777,6,f,105
wife,1778,2,f,108
wife,1779,5,f,108
wife,1780,4,f,253
wife,1781,7,f,173
wife,1782,9,f,221
wife,1783,6,f,254
wife,1784,9,f,420
wife,1785,3,f,163
wife,1786,14,f,238
wife,1787,2,f,132
wife,1788,7,f,261
wife,1789,2,f,165
wife,1790,9,f,199
wife,1791,9,f,262
wife,1792,6,f,239
wife,1793,7,f,170
wife,1794,12,f,229
wife,1795,11,f,261
wife,1796,8,f,255
wife,1797,9,f,220
wife,1798,6,f,244
wife,1799,2,f,188
wife,1800,8,f,233
wife,1801,4,f,170
wife,1802,10,f,147
wife,1803,5,f,308
wife,1804,10,f,190
wife,1805,10,f,218
wife,1806,7,f,226
wife,1807,7,f,246
wife,1808,10,f,297
wife,1809,11,f,297
wife,1810,9,f,202
wife,1811,11,f,158
wife,1812,6,f,174
wife,1813,18,f,230
wife,1814,17,f,276
wife,1815,8,f,262
wife,1816,17,f,134
wife,1817,5,f,131
wife,1818,9,f,228
wife,1819,11,f,309
wife,1820,19,f,691
wife,1821,8,f,286
wife,1822,8,f,170
wife,1823,3,f,162
wife,1824,15,f,176
wife,1825,11,f,230
wife,1826,15,f,174
wife,1827,15,f,190
wife,1828,9,f,215
wife,1829,12,f,461
woman,1770,22,f,164
woman,1771,27,f,178
woman,1772,63,f,312
woman,1773,56,f,249
woman,1774,29,f,121
woman,1775,25,f,95
woman,1776,17,f,96
woman,1777,38,f,105
woman,1778,39,f,108
woman,1779,21,f,108
woman,1780,60,f,253
woman,1781,47,f,173
woman,1782,42,f,221
woman,1783,40,f,254
woman,1784,65,f,420
woman,1785,35,f,163
woman,1786,44,f,238
woman,1787,22,f,132
woman,1788,41,f,261
woman,1789,21,f,165
woman,1790,36,f,199
woman,1791,45,f,262
woman,1792,35,f,239
woman,1793,38,f,170
woman,1794,55,f,229
woman,1795,52,f,261
woman,1796,58,f,255
woman,1797,33,f,220
woman,1798,41,f,244
woman,1799,23,f,188
woman,1800,57,f,233
woman,1801,41,f,170
woman,1802,25,f,147
woman,1803,28,f,308
woman,1804,23,f,190
woman,1805,38,f,218
woman,1806,31,f,226
woman,1807,58,f,246
woman,1808,82,f,297
woman,1809,46,f,297
woman,1810,51,f,202
woman,1811,51,f,158
woman,1812,48,f,174
woman,1813,44,f,230
woman,1814,47,f,276
woman,1815,28,f,262
woman,1816,38,f,134
woman,1817,19,f,131
woman,1818,52,f,228
woman,1819,60,f,309
woman,1820,66,f,691
woman,1821,48,f,286
woman,1822,30,f,170
woman,1823,27,f,162
woman,1824,32,f,176
woman,1825,50,f,230
woman,1826,42,f,174
woman,1827,23,f,190
woman,1828,33,f,215
woman,1829,44,f,461
women,1770,2,f,164
women,1771,2,f,178
women,1772,11,f,312
women,1773,4,f,249
women,1774,5,f,121
women,1775,6,f,95
women,1776,6,f,96
women,1777,10,f,105
women,1778,6,f,108
women,1779,3,f,108
women,1780,12,f,253
women,1781,8,f,173
women,1782,9,f,221
women,1783,7,f,254
women,1784,21,f,420
women,1785,14,f,163
women,1786,9,f,238
women,1787,7,f,132
women,1788,11,f,261
women,1789,9,f,165
women,1790,10,f,199
women,1791,13,f,262
women,1792,11,f,239
women,1793,10,f,170
women,1794,15,f,229
women,1795,12,f,261
women,1796,15,f,255
women,1797,9,f,220
women,1798,12,f,244
women,1799,8,f,188
women,1800,12,f,233
women,1801,13,f,170
women,1802,9,f,147
women,1803,15,f,308
women,1804,8,f,190
women,1805,9,f,218
women,1806,6,f,226
women,1807,15,f,246
women,1808,31,f,297
women,1809,18,f,297
women,1810,22,f,202
women,1811,16,f,158
women,1812,12,f,174
women,1813,18,f,230
women,1814,21,f,276
women,1815,11,f,262
women,1816,19,f,134
women,1817,9,f,131
women,1818,15,f,228
women,1819,27,f,309
women,1820,25,f,691
women,1821,17,f,286
women,1822,20,f,170
women,1823,8,f,162
women,1824,9,f,176
women,1825,19,f,230
women,1826,11,f,174
women,1827,11,f,190
women,1828,5,f,215
women,1829,15,f,461
boy,1770,3,m,164
boy,1771,5,m,178
boy,1772,14,m,312
boy,1773,7,m,249
boy,1774,5,m,121
boy,1775,7,m,95
boy,1776,10,m,96
boy,1777,5,m,105
boy,1778,3,m,108
boy,1779,9,m,108
boy,1780,10,m,253
boy,1781,11,m,173
boy,1782,5,m,221
boy,1783,6,m,254
boy,1784,18,m,420
boy,1785,14,m,163
boy,1786,17,m,238
boy,1787,5,m,132
boy,1788,9,m,261
boy,1789,4,m,165
boy,1790,11,m,199
boy,1791,4,m,262
boy,1792,7,m,239
boy,1793,11,m,170
boy,1794,14,m,229
boy,1795,7,m,261
boy,1796,15,m,255
boy,1797,12,m,220
boy,1798,8,m,244
boy,1799,10,m,188
boy,1800,7,m,233
boy,1801,10,m,170
boy,1802,8,m,147
boy,1803,6,m,308
boy,1804,9,m,190
boy,1805,9,m,218
boy,1806,11,m,226
boy,1807,11,m,246
boy,1808,23,m,297
boy,1809,12,m,297
boy,1810,10,m,202
boy,1811,7,m,158
boy,1812,8,m,174
boy,1813,21,m,230
boy,1814,10,m,276
boy,1815,14,m,262
boy,1816,13,m,134
boy,1817,10,m,131
boy,1818,16,m,228
boy,1819,24,m,309
boy,1820,10,m,691
boy,1821,13,m,286
boy,1822,13,m,170
boy,1823,9,m,162
boy,1824,14,m,176
boy,1825,15,m,230
boy,1826,22,m,174
boy,1827,18,m,190
boy,1828,14,m,215
boy,1829,25,m,461
duke,1770,0,m,164
duke,1771,1,m,178
duke,1772,2,m,312
duke,1773,0,m,249
duke,1774,0,m,121
duke,1775,0,m,95
duke,1776,0,m,96
duke,1777,0,m,105
duke,1778,0,m,108
duke,1779,0,m,108
duke,1780,2,m,253
duke,1781,0,m,173
duke,1782,0,m,221
duke,1783,0,m,254
duke,1784,2,m,420
duke,1785,0,m,163
duke,1786,0,m,238
duke,1787,0,m,132
duke,1788,1,m,261
duke,1789,1,m,165
duke,1790,0,m,199
duke,1791,1,m,262
duke,1792,2,m,239
duke,1793,0,m,170
duke,1794,1,m,229
duke,1795,0,m,261
duke,1796,1,m,255
duke,1797,1,m,220
duke,1798,0,m,244
duke,1799,1,m,188
duke,1800,0,m,233
duke,1801,1,m,170
duke,1802,1,m,147
duke,1803,0,m,308
duke,1804,1,m,190
duke,1805,0,m,218
duke,1806,0,m,226
duke,1807,0,m,246
duke,1808,1,m,297
duke,1809,1,m,297
duke,1810,0,m,202
duke,1811,0,m,158
duke,1812,0,m,174
duke,1813,0,m,230
duke,1814,0,m,276
duke,1815,1,m,262
duke,1816,0,m,134
duke,1817,0,m,131
duke,1818,0,m,228
duke,1819,1,m,309
duke,1820,1,m,691
duke,1821,0,m,286
duke,1822,0,m,170
duke,1823,2,m,162
duke,1824,0,m,176
duke,1825,0,m,230
duke,1826,0,m,174
duke,1827,0,m,190
duke,1828,2,m,215
duke,1829,1,m,461
husband,1770,0,m,164
husband,1771,6,m,178
husband,1772,2,m,312
husband,1773,6,m,249
husband,1774,1,m,121
husband,1775,4,m,95
husband,1776,2,m,96
husband,1777,9,m,105
husband,1778,1,m,108
husband,1779,1,m,108
husband,1780,4,m,253
husband,1781,3,m,173
husband,1782,4,m,221
husband,1783,4,m,254
husband,1784,2,m,420
husband,1785,3,m,163
husband,1786,1,m,238
husband,1787,2,m,132
husband,1788,2,m,261
husband,1789,3,m,165
husband,1790,2,m,199
husband,1791,5,m,262
husband,1792,3,m,239
husband,1793,1,m,170
husband,1794,5,m,229
husband,1795,4,m,261
husband,1796,6,m,255
husband,1797,4,m,220
husband,1798,4,m,244
husband,1799,3,m,188
husband,1800,9,m,233
husband,1801,2,m,170
husband,1802,2,m,147
husband,1803,1,m,308
husband,1804,4,m,190
husband,1805,2,m,218
husband,1806,0,m,226
husband,1807,7,m,246
husband,1808,12,m,297
husband,1809,2,m,297
husband,1810,5,m,202
husband,1811,3,m,158
husband,1812,12,m,174
husband,1813,18,m,230
husband,1814,8,m,276
husband,1815,5,m,262
husband,1816,10,m,134
husband,1817,2,m,131
husband,1818,7,m,228
husband,1819,4,m,309
husband,1820,9,m,691
husband,1821,9,m,286
husband,1822,4,m,170
husband,1823,2,m,162
husband,1824,4,m,176
husband,1825,12,m,230
husband,1826,6,m,174
husband,1827,3,m,190
husband,1828,3,m,215
husband,1829,2,m,461
lord,1770,0,m,164
lord,1771,1,m,178
lord,1772,0,m,312
lord,1773,1,m,249
lord,1774,0,m,121
lord,1775,0,m,95
lord,1776,0,m,96
lord,1777,0,m,105
lord,1778,0,m,108
lord,1779,0,m,108
lord,1780,5,m,253
lord,1781,0,m,173
lord,1782,1,m,221
lord,1783,4,m,254
lord,1784,3,m,420
lord,1785,0,m,163
lord,1786,0,m,238
lord,1787,2,m,132
lord,1788,0,m,261
lord,1789,0,m,165
lord,1790,0,m,199
lord,1791,1,m,262
lord,1792,0,m,239
lord,1793,0,m,170
lord,1794,1,m,229
lord,1795,1,m,261
lord,1796,0,m,255
lord,1797,2,m,220
lord,1798,1,m,244
lord,1799,0,m,188
lord,1800,0,m,233
lord,1801,0,m,170
lord,1802,0,m,147
lord,1803,0,m,308
lord,1804,0,m,190
lord,1805,1,m,218
lord,1806,0,m,226
lord,1807,0,m,246
lord,1808,0,m,297
lord,1809,0,m,297
lord,1810,0,m,202
lord,1811,0,m,158
lord,1812,1,m,174
lord,1813,2,m,230
lord,1814,2,m,276
lord,1815,1,m,262
lord,1816,0,m,134
lord,1817,1,m,131
lord,1818,0,m,228
lord,1819,0,m,309
lord,1820,1,m,691
lord,1821,1,m,286
lord,1822,0,m,170
lord,1823,0,m,162
lord,1824,1,m,176
lord,1825,1,m,230
lord,1826,1,m,174
lord,1827,3,m,190
lord,1828,1,m,215
lord,1829,0,m,461
man,1770,23,m,164
man,1771,68,m,178
man,1772,162,m,312
man,1773,95,m,249
man,1774,52,m,121
man,1775,36,m,95
man,1776,31,m,96
man,1777,38,m,105
man,1778,50,m,108
man,1779,38,m,108
man,1780,110,m,253
man,1781,75,m,173
man,1782,77,m,221
man,1783,91,m,254
man,1784,134,m,420
man,1785,66,m,163
man,1786,86,m,238
man,1787,43,m,132
man,1788,90,m,261
man,1789,60,m,165
man,1790,104,m,199
man,1791,94,m,262
man,1792,74,m,239
man,1793,57,m,170
man,1794,80,m,229
man,1795,90,m,261
man,1796,83,m,255
man,1797,67,m,220
man,1798,64,m,244
man,1799,58,m,188
man,1800,101,m,233
man,1801,54,m,170
man,1802,45,m,147
man,1803,63,m,308
man,1804,56,m,190
man,1805,48,m,218
man,1806,58,m,226
man,1807,96,m,246
man,1808,127,m,297
man,1809,94,m,297
man,1810,72,m,202
man,1811,77,m,158
man,1812,78,m,174
man,1813,88,m,230
man,1814,79,m,276
man,1815,90,m,262
man,1816,46,m,134
man,1817,52,m,131
man,1818,70,m,228
man,1819,92,m,309
man,1820,104,m,691
man,1821,76,m,286
man,1822,63,m,170
man,1823,49,m,162
man,1824,81,m,176
man,1825,75,m,230
man,1826,66,m,174
man,1827,80,m,190
man,1828,58,m,215
man,1829,97,m,461
master,1770,1,m,164
master,1771,4,m,178
master,1772,0,m,312
master,1773,5,m,249
master,1774,4,m,121
master,1775,0,m,95
master,1776,0,m,96
master,1777,0,m,105
master,1778,1,m,108
master,1779,5,m,108
master,1780,6,m,253
master,1781,3,m,173
master,1782,2,m,221
master,1783,6,m,254
master,1784,0,m,420
master,1785,2,m,163
master,1786,1,m,238
master,1787,0,m,132
master,1788,4,m,261
master,1789,2,m,165
master,1790,3,m,199
master,1791,9,m,262
master,1792,2,m,239
master,1793,0,m,170
master,1794,4,m,229
master,1795,3,m,261
master,1796,4,m,255
master,1797,1,m,220
master,1798,3,m,244
master,1799,3,m,188
master,1800,8,m,233
master,1801,4,m,170
master,1802,0,m,147
master,1803,6,m,308
master,1804,2,m,190
master,1805,7,m,218
master,1806,9,m,226
master,1807,9,m,246
master,1808,9,m,297
master,1809,2,m,297
master,1810,0,m,202
master,1811,2,m,158
master,1812,2,m,174
master,1813,5,m,230
master,1814,5,m,276
master,1815,2,m,262
master,1816,5,m,134
master,1817,1,m,131
master,1818,4,m,228
master,1819,5,m,309
master,1820,3,m,691
master,1821,3,m,286
master,1822,3,m,170
master,1823,2,m,162
master,1824,2,m,176
master,1825,5,m,230
master,1826,3,m,174
master,1827,3,m,190
master,1828,3,m,215
master,1829,2,m,461
men,1770,16,m,164
men,1771,11,m,178
men,1772,36,m,312
men,1773,40,m,249
men,1774,18,m,121
men,1775,13,m,95
men,1776,13,m,96
men,1777,12,m,105
men,1778,17,m,108
men,1779,19,m,108
men,1780,51,m,253
men,1781,26,m,173
men,1782,33,m,221
men,1783,36,m,254
men,1784,62,m,420
men,1785,16,m,163
men,1786,41,m,238
men,1787,18,m,132
men,1788,34,m,261
men,1789,22,m,165
men,1790,38,m,199
men,1791,31,m,262
men,1792,39,m,239
men,1793,24,m,170
men,1794,31,m,229
men,1795,18,m,261
men,1796,51,m,255
men,1797,31,m,220
men,1798,29,m,244
men,1799,22,m,188
men,1800,28,m,233
men,1801,22,m,170
men,1802,16,m,147
men,1803,33,m,308
men,1804,22,m,190
men,1805,31,m,218
men,1806,28,m,226
men,1807,34,m,246
men,1808,53,m,297
men,1809,48,m,297
men,1810,35,m,202
men,1811,34,m,158
men,1812,40,m,174
men,1813,65,m,230
men,1814,43,m,276
men,1815,37,m,262
men,1816,22,m,134
men,1817,31,m,131
men,1818,23,m,228
men,1819,48,m,309
men,1820,61,m,691
men,1821,28,m,286
men,1822,24,m,170
men,1823,24,m,162
men,1824,19,m,176
men,1825,35,m,230
men,1826,32,m,174
men,1827,27,m,190
men,1828,24,m,215
men,1829,41,m,461
mr,1770,0,m,164
mr,1771,0,m,178
mr,1772,0,m,312
mr,1773,0,m,249
mr,1774,0,m,121
mr,1775,0,m,95
mr,1776,0,m,96
mr,1777,0,m,105
mr,1778,0,m,108
mr,1779,0,m,108
mr,1780,0,m,253
mr,1781,0,m,173
mr,1782,0,m,221
mr,1783,0,m,254
mr,1784,0,m,420
mr,1785,0,m,163
mr,1786,0,m,238
mr,1787,0,m,132
mr,1788,0,m,261
mr,1789,0,m,165
mr,1790,0,m,199
mr,1791,0,m,262
mr,1792,0,m,239
mr,1793,0,m,170
mr,1794,0,m,229
mr,1795,0,m,261
mr,1796,0,m,255
mr,1797,0,m,220
mr,1798,0,m,244
mr,1799,0,m,188
mr,1800,0,m,233
mr,1801,0,m,170
mr,1802,0,m,147
mr,1803,0,m,308
mr,1804,0,m,190
mr,1805,0,m,218
mr,1806,0,m,226
mr,1807,0,m,246
mr,1808,0,m,297
mr,1809,0,m,297
mr,1810,0,m,202
mr,1811,0,m,158
mr,1812,0,m,174
mr,1813,0,m,230
mr,1814,0,m,276
mr,1815,0,m,262
mr,1816,0,m,134
mr,1817,0,m,131
mr,1818,0,m,228
mr,1819,0,m,309
mr,1820,0,m,691
mr,1821,0,m,286
mr,1822,0,m,170
mr,1823,0,m,162
mr,1824,0,m,176
mr,1825,0,m,230
mr,1826,0,m,174
mr,1827,0,m,190
mr,1828,0,m,215
mr,1829,0,m,461
sir,1770,0,m,164
sir,1771,0,m,178
sir,1772,0,m,312
sir,1773,0,m,249
sir,1774,0,m,121
sir,1775,0,m,95
sir,1776,1,m,96
sir,1777,0,m,105
sir,1778,0,m,108
sir,1779,0,m,108
sir,1780,0,m,253
sir,1781,0,m,173
sir,1782,0,m,221
sir,1783,0,m,254
sir,1784,0,m,420
sir,1785,0,m,163
sir,1786,0,m,238
sir,1787,0,m,132
sir,1788,0,m,261
sir,1789,0,m,165
sir,1790,0,m,199
sir,1791,0,m,262
sir,1792,0,m,239
sir,1793,1,m,170
sir,1794,0,m,229
sir,1795,0,m,261
sir,1796,1,m,255
sir,1797,0,m,220
sir,1798,0,m,244
sir,1799,0,m,188
sir,1800,0,m,233
sir,1801,0,m,170
sir,1802,0,m,147
sir,1803,1,m,308
sir,1804,1,m,190
sir,1805,3,m,218
sir,1806,0,m,226
sir,1807,0,m,246
sir,1808,0,m,297
sir,1809,0,m,297
sir,1810,0,m,202
sir,1811,0,m,158
sir,1812,1,m,174
sir,1813,0,m,230
sir,1814,1,m,276
sir,1815,0,m,262
sir,1816,1,m,134
sir,1817,0,m,131
sir,1818,0,m,228
sir,1819,0,m,309
sir,1820,0,m,691
sir,1821,1,m,286
sir,1822,1,m,170
sir,1823,1,m,162
sir,1824,0,m,176
sir,1825,0,m,230
sir,1826,1,m,174
sir,1827,2,m,190
sir,1828,0,m,215
sir,1829,0,m,461
